Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Average
1983,0.168,0.149,0.183,0.147,0.188,0.119,0.216,0.14,0.193,0.111,0.222,0.166909091
1984,-0.085,-0.1,-0.067,-0.104,-0.065,-0.133,-0.036,-0.11,-0.058,-0.14,-0.029,-0.084272727
1985,-0.131,-0.148,-0.114,-0.151,-0.111,-0.179,-0.083,-0.157,-0.105,-0.186,-0.076,-0.131
1986,0.026,0.008,0.044,0.007,0.045,-0.023,0.075,-0.003,0.051,-0.031,0.08,0.025363636
1987,0.153,0.136,0.174,0.134,0.172,0.104,0.202,0.125,0.181,0.097,0.209,0.153363636
1988,0.233,0.211,0.253,0.215,0.252,0.186,0.281,0.205,0.261,0.178,0.288,0.233
1989,0.164,0.14,0.189,0.146,0.182,0.116,0.212,0.136,0.193,0.108,0.22,0.164181818
1990,0.412,0.387,0.443,0.395,0.429,0.363,0.461,0.382,0.444,0.355,0.47,0.412818182
1991,0.316,0.288,0.344,0.298,0.333,0.266,0.366,0.284,0.348,0.257,0.375,0.315909091
1992,0.074,0.047,0.103,0.058,0.091,0.021,0.127,0.041,0.106,0.012,0.136,0.074181818
1993,0.13,0.101,0.16,0.114,0.147,0.079,0.181,0.097,0.163,0.07,0.191,0.130272727
1994,0.28,0.248,0.308,0.262,0.297,0.224,0.335,0.244,0.314,0.213,0.345,0.279090909
1995,0.47,0.437,0.497,0.453,0.488,0.421,0.52,0.433,0.506,0.408,0.531,0.469454545
1996,0.175,0.143,0.198,0.158,0.192,0.121,0.23,0.139,0.208,0.109,0.238,0.173727273
1997,0.456,0.426,0.48,0.438,0.474,0.402,0.51,0.421,0.49,0.391,0.52,0.455272727
1998,0.614,0.579,0.645,0.596,0.633,0.56,0.668,0.575,0.65,0.547,0.679,0.613272727
1999,0.408,0.374,0.436,0.392,0.424,0.356,0.46,0.37,0.443,0.343,0.472,0.407090909
2000,0.404,0.373,0.435,0.388,0.42,0.351,0.457,0.369,0.441,0.34,0.469,0.404272727
2001,0.558,0.529,0.588,0.541,0.575,0.505,0.61,0.522,0.598,0.494,0.624,0.558545455
2002,0.593,0.562,0.627,0.576,0.609,0.541,0.644,0.556,0.633,0.53,0.659,0.593636364
2003,0.642,0.608,0.679,0.626,0.658,0.588,0.696,0.604,0.681,0.576,0.71,0.642545455
2004,0.604,0.571,0.636,0.589,0.62,0.552,0.657,0.566,0.642,0.539,0.67,0.604181818
2005,0.724,0.69,0.758,0.709,0.74,0.669,0.779,0.684,0.761,0.655,0.79,0.723545455
2006,0.676,0.641,0.707,0.661,0.691,0.623,0.729,0.636,0.711,0.609,0.74,0.674909091
2007,0.713,0.677,0.742,0.697,0.728,0.66,0.766,0.675,0.748,0.647,0.776,0.711727273
2008,0.569,0.535,0.597,0.554,0.585,0.518,0.62,0.531,0.604,0.505,0.631,0.568090909
2009,0.594,0.561,0.624,0.579,0.609,0.54,0.648,0.556,0.63,0.528,0.66,0.593545455
2010,0.74,0.705,0.77,0.726,0.755,0.686,0.795,0.7,0.775,0.672,0.805,0.739
2011,0.575,0.535,0.606,0.559,0.59,0.523,0.626,0.534,0.61,0.509,0.637,0.573090909
2012,0.627,0.592,0.657,0.61,0.644,0.575,0.679,0.588,0.664,0.562,0.692,0.626363636
2013,0.674,0.641,0.707,0.657,0.691,0.622,0.726,0.635,0.712,0.609,0.739,0.673909091
2014,0.779,0.744,0.809,0.764,0.794,0.726,0.832,0.739,0.814,0.711,0.843,0.777727273
2015,1.033,0.997,1.061,1.018,1.047,0.982,1.084,0.992,1.066,0.966,1.093,1.030818182
2016,1.064,1.027,1.096,1.048,1.08,1.01,1.119,1.023,1.101,0.995,1.13,1.063
2017,0.922,0.885,0.954,0.901,0.943,0.861,0.983,0.879,0.963,0.848,0.996,0.921363636
2018,0.785,0.752,0.82,0.769,0.801,0.726,0.845,0.744,0.824,0.713,0.857,0.785090909
2019,0.881,0.838,0.924,0.851,0.911,0.509,1.253,0.831,0.935,0.507,1.257,0.881545455
